Date,count_heard_inf,news_inflation,news_inflation_ratio,count_heard_unfav,unfav_inflation,unfav_inflation_ratio,count_heard_fav,fav_inflation,fav_inflation_ratio,count_up_or_down,go_up,go_up_same_rate,stay_same,go_down
1995.166666666651,501,5,0.00998003992015968,501,3,0.005988023952095809,501,2,0.003992015968063872,501,354,64,71,10
1995.2499999999843,500,4,0.008,500,3,0.006,500,1,0.002,500,351,67,75,5
1995.3333333333176,502,13,0.025896414342629483,502,7,0.013944223107569721,502,6,0.01195219123505976,502,342,80,65,12
1995.4166666666508,501,6,0.011976047904191617,501,6,0.011976047904191617,501,0,0.0,501,320,86,82,12
1995.499999999984,504,4,0.007936507936507936,504,3,0.005952380952380952,504,1,0.001984126984126984,504,324,90,80,9
1995.5833333333173,500,6,0.012,500,4,0.008,500,2,0.004,500,328,75,80,15
1995.6666666666506,500,8,0.016,500,3,0.006,500,5,0.01,500,331,82,77,6
1995.7499999999839,506,10,0.019762845849802372,506,3,0.005928853754940711,506,7,0.01383399209486166,506,340,85,75,4
1995.8333333333171,501,6,0.011976047904191617,501,5,0.00998003992015968,501,1,0.001996007984031936,501,330,76,74,17
1995.9166666666504,500,3,0.006,500,1,0.002,500,2,0.004,500,315,80,85,16
1995.9999999999836,500,5,0.01,500,3,0.006,500,2,0.004,500,312,88,74,22
1996.083333333317,504,4,0.007936507936507936,504,3,0.005952380952380952,504,1,0.001984126984126984,504,301,90,91,19
1996.1666666666501,501,3,0.005988023952095809,501,2,0.003992015968063872,501,1,0.001996007984031936,501,318,89,81,11
1996.2499999999834,500,9,0.018,500,5,0.01,500,4,0.008,500,379,59,51,8
1996.3333333333167,500,26,0.052,500,23,0.046,500,3,0.006,500,365,57,61,14
1996.41666666665,500,13,0.026,500,10,0.02,500,3,0.006,500,354,60,66,17
1996.4999999999832,501,7,0.013972055888223553,501,7,0.013972055888223553,501,0,0.0,501,331,85,72,9
1996.5833333333164,500,3,0.006,500,3,0.006,500,0,0.0,500,348,79,59,9
1996.6666666666497,500,5,0.01,500,2,0.004,500,3,0.006,500,383,59,45,9
1996.749999999983,500,2,0.004,500,1,0.002,500,1,0.002,500,363,66,59,9
1996.8333333333162,501,11,0.021956087824351298,501,6,0.011976047904191617,501,5,0.00998003992015968,501,364,59,67,8
1996.9166666666495,501,6,0.011976047904191617,501,4,0.007984031936127744,501,2,0.003992015968063872,501,362,75,56,7
1996.9999999999827,500,6,0.012,500,4,0.008,500,2,0.004,500,378,64,49,6
