Date,total_num_articles,num_of_relevant_articles,inflation_articles_per_month,positive_articles,neutral_articles,negative_articles,sentiment_gap
1994.916666666653,6106.0,374.0,16.0,1.0,4.0,11.0,10.0
1994.9999999999864,7038.0,465.0,25.0,6.0,5.0,14.0,8.0
1995.0833333333196,5695.0,407.0,19.0,2.0,3.0,14.0,12.0
1995.1666666666529,6695.0,462.0,13.0,1.0,2.0,10.0,9.0
1995.2499999999861,7527.0,400.0,15.0,1.0,1.0,13.0,12.0
1995.3333333333194,7062.0,458.0,15.0,1.0,2.0,12.0,11.0
1995.4166666666526,6581.0,462.0,10.0,0.0,1.0,9.0,9.0
1995.499999999986,7556.0,409.0,9.0,1.0,0.0,8.0,7.0
1995.5833333333192,7061.0,372.0,14.0,2.0,1.0,11.0,9.0
1995.6666666666524,6351.0,416.0,9.0,1.0,1.0,7.0,6.0
1995.7499999999857,9715.0,478.0,16.0,3.0,4.0,9.0,6.0
1995.833333333319,6803.0,493.0,6.0,1.0,1.0,4.0,3.0
1995.9166666666522,7151.0,565.0,6.0,0.0,2.0,4.0,4.0
1995.9999999999854,6829.0,496.0,4.0,0.0,1.0,3.0,3.0
1996.0833333333187,6605.0,390.0,9.0,0.0,1.0,8.0,8.0
1996.166666666652,7178.0,482.0,8.0,1.0,3.0,4.0,3.0
1996.2499999999852,6705.0,467.0,13.0,3.0,1.0,9.0,6.0
1996.3333333333185,6902.0,410.0,18.0,4.0,3.0,11.0,7.0
1996.4166666666517,7034.0,449.0,18.0,1.0,4.0,13.0,12.0
1996.499999999985,6992.0,483.0,12.0,0.0,2.0,10.0,10.0
1996.5833333333183,6010.0,357.0,14.0,2.0,2.0,10.0,8.0
1996.6666666666515,6387.0,456.0,20.0,3.0,0.0,17.0,14.0
1996.7499999999848,6675.0,324.0,20.0,4.0,1.0,15.0,11.0
1996.833333333318,6214.0,378.0,13.0,2.0,1.0,10.0,8.0
1996.9166666666513,6258.0,366.0,27.0,3.0,7.0,17.0,14.0
1996.9999999999845,7282.0,444.0,24.0,7.0,5.0,12.0,5.0
1997.0833333333178,6967.0,381.0,18.0,3.0,4.0,11.0,8.0
1997.166666666651,7647.0,505.0,26.0,3.0,5.0,18.0,15.0
1997.2499999999843,7386.0,406.0,24.0,3.0,6.0,15.0,12.0
1997.3333333333176,7398.0,380.0,13.0,1.0,2.0,10.0,9.0
1997.4166666666508,7427.0,457.0,12.0,3.0,3.0,6.0,3.0
1997.499999999984,7120.0,420.0,17.0,1.0,6.0,10.0,9.0
1997.5833333333173,7296.0,383.0,15.0,0.0,8.0,7.0,7.0
1997.6666666666506,7580.0,424.0,10.0,0.0,3.0,7.0,7.0
1997.7499999999839,8280.0,509.0,28.0,4.0,3.0,21.0,17.0
